epoch,lr,train time
0,9.999999747378752e-05,0:03:49.577644
1,9.999999747378752e-05,0:03:40.616158
2,9.999999747378752e-05,0:03:48.217910
3,9.999999747378752e-05,0:03:41.078181
4,9.999999747378752e-05,0:03:43.326139
5,9.999999747378752e-05,0:03:40.301136
6,9.999999747378752e-05,0:03:37.337413
7,9.999999747378752e-05,0:03:36.967235
1,9.999999747378752e-05,0:04:05.963105
1,9.999999747378752e-05,0:04:04.220464
2,9.999999747378752e-05,0:03:49.908870
3,9.999999747378752e-05,0:03:57.373794
4,9.999999747378752e-05,0:03:46.851021
5,9.999999747378752e-05,0:03:35.698649
6,9.999999747378752e-05,0:03:35.378401
7,9.999999747378752e-05,0:03:32.716981
8,9.999999747378752e-05,0:03:32.214225
9,9.999999747378752e-05,0:03:34.508052
10,9.999999747378752e-05,0:03:32.896843
11,9.999999747378752e-05,0:03:31.613254
12,9.999999747378752e-05,0:03:33.549914
13,9.999999747378752e-05,0:03:35.661705
14,9.999999747378752e-05,0:03:36.940445
15,9.999999747378752e-05,0:03:48.088537
16,9.999999747378752e-05,0:03:31.567930
17,9.999999747378752e-05,0:03:34.104707
18,9.999999747378752e-05,0:03:31.224221
19,9.999999747378752e-05,0:03:31.593061
20,9.999999747378752e-05,0:03:33.221515
21,9.999999747378752e-05,0:03:31.416604
22,9.999999747378752e-05,0:03:30.455616
23,9.999999747378752e-05,0:03:31.220550
24,9.999999747378752e-05,0:03:33.181126
25,9.999999747378752e-05,0:03:31.125977
26,9.999999747378752e-05,0:03:33.303635
27,9.999999747378752e-05,0:03:31.036893
28,9.999999747378752e-05,0:03:30.778663
29,9.999999747378752e-05,0:03:34.258610
30,9.999999747378752e-05,0:03:30.862367
31,9.999999747378752e-05,0:03:30.726645
32,9.999999747378752e-05,0:03:31.733499
33,9.999999747378752e-05,0:03:33.609804
34,9.999999747378752e-05,0:03:30.099148
35,9.999999747378752e-05,0:03:30.881521
36,9.999999747378752e-05,0:03:31.731050
37,9.999999747378752e-05,0:03:30.706900
38,9.999999747378752e-05,0:03:34.153099
39,9.999999747378752e-05,0:03:31.255244
40,9.999999747378752e-05,0:03:30.315382
41,9.999999747378752e-05,0:03:33.213908
42,9.999999747378752e-05,0:03:33.513392
43,9.999999747378752e-05,0:03:30.980080
44,9.999999747378752e-05,0:03:31.355101
45,9.999999747378752e-05,0:03:31.153497
46,9.999999747378752e-05,0:03:31.200123
47,9.999999747378752e-05,0:03:33.152469
48,9.999999747378752e-05,0:03:30.352403
49,9.999999747378752e-05,0:03:30.805810
50,9.999999747378752e-05,0:03:58.502392
51,9.999999747378752e-05,0:03:42.125256
52,9.999999747378752e-05,0:03:43.446290
53,9.999999747378752e-05,0:03:47.349583
54,9.999999747378752e-05,0:03:48.650873
55,9.999999747378752e-05,0:03:58.534854
56,9.999999747378752e-05,0:03:57.497021
57,9.999999747378752e-05,0:03:50.090795
58,9.999999747378752e-05,0:03:59.608833
59,9.999999747378752e-05,0:03:54.668326
60,9.999999747378752e-05,0:03:55.474127
61,9.999999747378752e-05,0:03:53.671236
62,9.999999747378752e-05,0:03:54.259083
63,9.999999747378752e-05,0:03:47.727909
64,9.999999747378752e-05,0:03:45.634511
