epoch,loss,mse,psnr_metric,ssim_metric,val_loss,val_mse,val_psnr_metric,val_ssim_metric
0,0.01099785093988157,0.01099785,20.501213,0.6047649,0.016273459419608116,0.017496369779109955,18.138126373291016,0.5609927177429199
1,0.007568386641689725,0.0075683887,22.000746,0.6975215,0.008088664151728153,0.007860404439270496,21.75707244873047,0.7097538113594055
2,0.005891952244071257,0.0058919513,23.123705,0.76144236,0.005697763990610838,0.005410321522504091,23.52471160888672,0.7789419293403625
3,0.004937151372893434,0.0049371505,23.939371,0.7971378,0.0040748645551502705,0.004660185892134905,24.20903778076172,0.8063670992851257
4,0.004381648208057449,0.0043816483,24.498705,0.8175511,0.00462219538167119,0.004122596234083176,24.794376373291016,0.8282077312469482
5,0.004012007298369237,0.0040120077,24.936375,0.8305248,0.0036375371273607016,0.0037585790269076824,25.217378616333008,0.8384091854095459
6,0.003668618567004905,0.0036686205,25.361887,0.84321934,0.0036056486424058676,0.0034868677612394094,25.579774856567383,0.8483061194419861
7,0.0034103287703130566,0.0034103289,25.693907,0.85353124,0.003607074497267604,0.003288954496383667,25.9008731842041,0.856895923614502
8,0.00320225498184904,0.0032022551,26.006691,0.8611642,0.0032802121713757515,0.0031012126710265875,26.139066696166992,0.8634712100028992
9,0.003035807903928439,0.0030358084,26.264896,0.8677454,0.0026539121754467487,0.0029216413386166096,26.513086318969727,0.8724596500396729
10,0.002879767619441971,0.0028797677,26.518013,0.8743259,0.002732713706791401,0.0027269860729575157,26.88184928894043,0.8768550157546997
11,0.0027657973961805918,0.0027657978,26.707354,0.87892944,0.002761624287813902,0.0026455065235495567,26.984786987304688,0.8805170655250549
12,0.002670539930535237,0.0026705402,26.889862,0.8829692,0.0027291348669677973,0.002699082950130105,26.85579490661621,0.883135974407196
13,0.002588229832262485,0.0025882297,27.0203,0.886948,0.0024636818561702967,0.002451579086482525,27.428428649902344,0.8883917927742004
14,0.0024788604634600054,0.0024788606,27.242004,0.89052975,0.0020121026318520308,0.0023498302325606346,27.58646583557129,0.8911058306694031
15,0.0024349214389834672,0.002434921,27.331404,0.89306426,0.0025508299004286528,0.0023734753485769033,27.567035675048828,0.8921410441398621
16,0.0023528517523365815,0.0023528526,27.493336,0.8961189,0.0026859589852392673,0.002304090652614832,27.760496139526367,0.8959265351295471
17,0.0022755341810855503,0.002275534,27.653393,0.89906526,0.002493920736014843,0.002215728862211108,27.859113693237305,0.900286078453064
18,0.0022519105077020217,0.0022519105,27.693409,0.90144557,0.0022477249149233103,0.0021199965849518776,28.166616439819336,0.9029743075370789
19,0.002200867226281509,0.0022008664,27.836372,0.9033201,0.0019533419981598854,0.002096997108310461,28.181995391845703,0.9041767716407776
20,0.0021566083570843555,0.0021566085,27.91652,0.9051287,0.0019488846883177757,0.002038982231169939,28.341787338256836,0.9076188206672668
21,0.002104759733801438,0.0021047601,28.04101,0.90701973,0.001884475932456553,0.0019925390370190144,28.44697380065918,0.9076442122459412
22,0.002058209762941427,0.002058209,28.124777,0.9091376,0.0017890831222757697,0.002007524250075221,28.399505615234375,0.909961462020874
23,0.0020369575642766725,0.0020369575,28.194582,0.9104386,0.002040098188444972,0.0019721076823771,28.53322982788086,0.9107820391654968
24,0.002012713541204353,0.0020127138,28.256567,0.91173255,0.002793811960145831,0.002742332872003317,27.817079544067383,0.883905291557312
25,0.002003125888756197,0.002003126,28.269981,0.9128469,0.001658794702962041,0.0019241883419454098,28.6860408782959,0.9126322269439697
26,0.002419477030420972,0.0024194776,27.593727,0.89943653,0.0021880939602851868,0.0022357660345733166,28.077964782714844,0.896526038646698
27,0.002052825657970045,0.002052825,28.206196,0.9104703,0.002036208286881447,0.0021292308811098337,28.27311134338379,0.9024255275726318
28,0.0019666981367499636,0.0019666979,28.395468,0.9135149,0.002047975780442357,0.0019151124870404601,28.701078414916992,0.9129138588905334
29,0.0019327675448171137,0.0019327673,28.464708,0.9153019,0.0017799880588427186,0.0018723910907283425,28.69462776184082,0.9143214821815491
30,0.001892219253160823,0.0018922196,28.564505,0.9171628,0.002004404552280903,0.0018565290374681354,28.805158615112305,0.915788471698761
31,0.0018717175890122255,0.0018717183,28.620594,0.9182652,0.0019112237496301532,0.0017986237071454525,28.99439811706543,0.9184943437576294
32,0.00182363611618024,0.0018236361,28.714811,0.9198779,0.0015564110362902284,0.0018249629065394402,28.963014602661133,0.9189677238464355
33,0.0018087816918301708,0.0018087818,28.783062,0.92038816,0.001739812665618956,0.0016988925635814667,29.21937370300293,0.9232878684997559
34,0.0019296023590727165,0.0019296024,28.575413,0.91581464,0.09992298483848572,0.10060404986143112,10.099860191345215,0.24855437874794006
35,0.0020070109193874755,0.0020070113,28.349796,0.9114407,0.0019836067222058773,0.00187176454346627,28.775100708007812,0.9151850938796997
36,0.0018480881759008333,0.0018480881,28.693655,0.9196036,0.0018907773774117231,0.00183423503767699,28.947240829467773,0.9162560105323792
37,0.0017908779125127533,0.0017908785,28.829443,0.9214652,0.0017629560315981507,0.0017530935583636165,29.091737747192383,0.9200977683067322
38,0.001771346204782517,0.0017713468,28.882511,0.9229087,0.001733810524456203,0.0017081802943721414,29.25015640258789,0.9222008585929871
39,0.001734680640132762,0.0017346803,28.973312,0.9241484,0.0018322225660085678,0.0016378717264160514,29.460493087768555,0.9238166213035583
