epoch,lr,train time
0,9.999999747378752e-05,0:08:02.190772
1,9.999999747378752e-05,0:07:52.104404
2,9.999999747378752e-05,0:07:55.936806
3,9.999999747378752e-05,0:07:52.386686
4,9.999999747378752e-05,0:07:49.545706
5,9.999999747378752e-05,0:07:55.875780
6,9.999999747378752e-05,0:07:51.559803
7,9.999999747378752e-05,0:07:50.625914
8,9.999999747378752e-05,0:07:55.635335
9,9.999999747378752e-05,0:07:54.121917
10,9.999999747378752e-05,0:07:49.489631
11,9.999999747378752e-05,0:07:56.225628
12,9.999999747378752e-05,0:07:51.711818
13,9.999999747378752e-05,0:07:50.753448
14,9.999999747378752e-05,0:07:56.125354
15,9.999999747378752e-05,0:08:06.925092
16,9.999999747378752e-05,0:08:07.616381
17,9.999999747378752e-05,0:08:12.198570
18,9.999999747378752e-05,0:08:00.076241
19,9.999999747378752e-05,0:07:53.014253
20,9.999999747378752e-05,0:07:56.848780
21,9.999999747378752e-05,0:07:54.568435
22,9.999999747378752e-05,0:07:51.702531
23,9.999999747378752e-05,0:07:56.917801
24,9.999999747378752e-05,0:07:53.268789
25,9.999999747378752e-05,0:07:52.620439
26,9.999999747378752e-05,0:07:57.358179
27,9.999999747378752e-05,0:07:54.388775
28,9.999999747378752e-05,0:07:51.866215
29,9.999999747378752e-05,0:07:58.169980
30,9.999999747378752e-05,0:07:54.169666
31,9.999999747378752e-05,0:07:52.348004
32,9.999999747378752e-05,0:07:57.169745
33,9.999999747378752e-05,0:07:54.221311
34,9.999999747378752e-05,0:07:51.222013
35,9.999999747378752e-05,0:07:58.509449
36,9.999999747378752e-05,0:07:53.549558
37,9.999999747378752e-05,0:07:51.577537
38,9.999999747378752e-05,0:07:57.314846
39,9.999999747378752e-05,0:07:55.435062
