epoch,loss,mse,psnr_metric,ssim_metric,val_loss,val_mse,val_psnr_metric,val_ssim_metric
0,0.011851428097305081,0.011851422,20.11319,0.60666513,0.009011934511363506,0.009426197968423367,20.593639373779297,0.7005169987678528
1,0.006984505559935321,0.006984501,22.094868,0.73911816,0.007565315812826157,0.00752279395237565,21.63583755493164,0.742073118686676
2,0.005770650633095919,0.0057706535,22.942318,0.7775955,0.00573761947453022,0.00605103699490428,22.61817741394043,0.7850267887115479
3,0.004916471296887143,0.004916472,23.64921,0.8004253,0.0069755734875798225,0.006810416933149099,21.971715927124023,0.7863264679908752
4,0.004495071123495333,0.0044950726,24.07128,0.816861,0.0048709954135119915,0.004361852537840605,24.169166564941406,0.8236364126205444
5,0.004016363858509164,0.0040163617,24.612396,0.8343661,0.003971082158386707,0.004459945484995842,24.07790184020996,0.8327147364616394
6,0.00371570976816152,0.003715707,24.97342,0.84695965,0.0036255400627851486,0.0036675503943115473,25.02945327758789,0.8430823683738708
7,0.0034869135885854546,0.003486916,25.262115,0.8574729,0.003132070414721966,0.0037193899042904377,24.88503646850586,0.8535314798355103
8,0.003240026152802554,0.0032400256,25.586597,0.86612713,0.003192607779055834,0.0031959442421793938,25.596656799316406,0.8717069625854492
9,0.0030710336215263533,0.0030710332,25.83362,0.87318,0.00463472306728363,0.00431819399818778,24.11772918701172,0.8720328211784363
10,0.002911590964991206,0.0029115905,26.063828,0.8790913,0.0032059606164693832,0.0032142174895852804,25.433940887451172,0.8780249953269958
11,0.0027524502384569066,0.0027524482,26.31889,0.88485193,0.002889123745262623,0.003048807382583618,25.721189498901367,0.8858464360237122
12,0.0025972341437600155,0.002597234,26.588936,0.8913631,0.0028907088562846184,0.0030684841331094503,25.662216186523438,0.8904215693473816
13,0.0024982849433718628,0.0024982833,26.76944,0.8963206,0.0024053389206528664,0.0025038770399987698,26.658910751342773,0.8975315690040588
14,0.002408251884089609,0.0024082516,26.947378,0.9001077,0.002156795933842659,0.002520748181268573,26.686359405517578,0.8968692421913147
15,0.002333076805008966,0.0023330778,27.074137,0.90422916,0.002914323704317212,0.002758484100922942,26.14055633544922,0.9026069045066833
16,0.0022334084355102634,0.0022334096,27.26736,0.9079881,0.002423460828140378,0.002487029181793332,26.618173599243164,0.905544638633728
17,0.002143796635321006,0.0021437963,27.459589,0.91125333,0.0017443613614887,0.002103178994730115,27.62189292907715,0.9086455702781677
18,0.0020907619403986114,0.0020907628,27.568047,0.91363907,0.001816590316593647,0.0019588719587773085,27.917407989501953,0.916589081287384
19,0.0019833669123477996,0.0019833662,27.81593,0.9172102,0.002033279510214925,0.001965272706001997,27.819955825805664,0.9179389476776123
20,0.0019288280303839589,0.0019288285,27.917923,0.9193246,0.001965296221897006,0.002105570398271084,27.449037551879883,0.9183394312858582
21,0.0018742062261251084,0.0018742064,28.063871,0.9211368,0.002060769824311137,0.002029741182923317,27.537866592407227,0.9211187958717346
22,0.0018102120803127131,0.0018102123,28.224466,0.92319304,0.0020672078244388103,0.0022942160721868277,26.912755966186523,0.9179555773735046
