epoch,loss,scale16_output_loss,scale16_output_mse,scale16_output_psnr_metric,scale16_output_ssim_metric,scale32_output_loss,scale32_output_mse,scale32_output_psnr_metric,scale32_output_ssim_metric,val_loss,val_scale16_output_loss,val_scale16_output_mse,val_scale16_output_psnr_metric,val_scale16_output_ssim_metric,val_scale32_output_loss,val_scale32_output_mse,val_scale32_output_psnr_metric,val_scale32_output_ssim_metric
0,0.015131761350979408,0.0066120387,0.0066120373,23.162956,0.81594074,0.008519721,0.008519727,21.787045,0.678489,0.05200725048780441,0.028590144589543343,0.028590137138962746,16.156848907470703,0.5773121118545532,0.023563949391245842,0.02356395311653614,16.90650177001953,0.56879061460495
1,0.007824752894230187,0.0031025033,0.0031025035,26.071775,0.9080416,0.0047222488,0.004722248,24.120916,0.788284,0.011597218923270702,0.004559758119285107,0.004559757187962532,24.24641227722168,0.8710123896598816,0.00598057359457016,0.005980573128908873,23.09202003479004,0.7424135208129883
2,0.006558636232900122,0.0025373586,0.0025373583,26.996847,0.9276052,0.0040212777,0.004021277,24.864933,0.81907403,0.00797639973461628,0.0027775494381785393,0.002777548972517252,26.474390029907227,0.9211657643318176,0.004800803028047085,0.004800803028047085,23.929157257080078,0.8104646801948547
3,0.005888526261163255,0.0022457365,0.0022457354,27.585613,0.93768984,0.0036427919,0.00364279,25.360909,0.83618236,0.008744875900447369,0.002883259439840913,0.002883259439840913,26.20654296875,0.9299331903457642,0.0044847107492387295,0.004484711214900017,24.342744827270508,0.8266223669052124
4,0.005455269635034104,0.0020603852,0.0020603852,28.00481,0.943646,0.0033948834,0.0033948866,25.725855,0.8468578,0.00558975525200367,0.0020358068868517876,0.0020358064211905003,27.83463478088379,0.9455990791320801,0.0034658582881093025,0.0034658589866012335,25.580198287963867,0.8489144444465637
5,0.00510284673422575,0.001891853,0.0018918532,28.380087,0.9488273,0.0032109944,0.0032109937,25.97796,0.85505843,0.007252250798046589,0.002356965094804764,0.002356965094804764,27.476913452148438,0.9464694857597351,0.004097594879567623,0.004097594413906336,24.77483558654785,0.8468616604804993
6,0.0048948241195951895,0.0018117425,0.0018117424,28.587877,0.9518962,0.0030830821,0.0030830815,26.188086,0.8619385,0.0075473058968782425,0.0036301203072071075,0.003630120540037751,25.586122512817383,0.9038459062576294,0.0041119977831840515,0.004111996851861477,24.9995174407959,0.8173329830169678
7,0.004609612617641688,0.0016861737,0.0016861728,28.917643,0.95533466,0.0029234395,0.0029234379,26.46404,0.8684585,0.0050651915371418,0.0019827671349048615,0.0019827671349048615,28.218883514404297,0.9545478224754333,0.003135513514280319,0.003135513514280319,26.215030670166016,0.865303099155426
8,0.004408482600313922,0.0016026389,0.0016026387,29.139511,0.9574906,0.0028058435,0.0028058435,26.65619,0.8732833,0.0040480000898242,0.0014837110647931695,0.0014837115304544568,29.45363998413086,0.960170328617096,0.0028203397523611784,0.0028203395195305347,26.55668830871582,0.8741029500961304
9,0.004331373027525842,0.0015668622,0.0015668623,29.2433,0.95883965,0.0027645114,0.0027645119,26.739805,0.87587446,0.00479250680655241,0.0016114914324134588,0.0016114910831674933,29.17292022705078,0.959459662437439,0.003230590606108308,0.003230590606108308,25.89852523803711,0.8697932362556458
10,0.004182091715435187,0.0015038317,0.0015038318,29.417097,0.96112597,0.0026782595,0.0026782588,26.887112,0.8804342,0.006012706086039543,0.0022169030271470547,0.0022169032599776983,27.435802459716797,0.9510899186134338,0.003944192081689835,0.003944192547351122,24.889854431152344,0.8701580166816711
