epoch,loss,scale16_output_loss,scale16_output_mse,scale16_output_psnr_metric,scale16_output_ssim_metric,scale32_output_loss,scale32_output_mse,scale32_output_psnr_metric,scale32_output_ssim_metric,val_loss,val_scale16_output_loss,val_scale16_output_mse,val_scale16_output_psnr_metric,val_scale16_output_ssim_metric,val_scale32_output_loss,val_scale32_output_mse,val_scale32_output_psnr_metric,val_scale32_output_ssim_metric
0,0.014626403062914808,0.0063998415,0.00639984,23.26904,0.8248198,0.0082265595,0.0082265595,21.988146,0.69074476,0.045202549546957016,0.023363031446933746,0.023363033309578896,17.0839900970459,0.6950736045837402,0.01913430169224739,0.01913430541753769,17.782981872558594,0.5599424242973328
1,0.007490672189742326,0.002986101,0.0029861003,26.190569,0.9127179,0.0045045717,0.004504574,24.345905,0.79814,0.009901579469442368,0.004940584301948547,0.004940584767609835,23.797399520874023,0.8901281356811523,0.005607790779322386,0.0056077903136610985,23.49512481689453,0.773123025894165
2,0.0064147539964566624,0.0024918257,0.002491827,27.043484,0.92952335,0.0039229286,0.0039229286,25.030731,0.82419074,0.007476680912077427,0.0026948791928589344,0.0026948789600282907,26.527639389038086,0.9309756755828857,0.004957478493452072,0.004957479424774647,23.72004508972168,0.812333881855011
3,0.005791820494147638,0.002226756,0.0022267564,27.54688,0.9375481,0.0035650642,0.0035650642,25.483932,0.8385185,0.006253768689930439,0.0024052078370004892,0.0024052076041698456,27.039081573486328,0.9387765526771545,0.003802367253229022,0.003802366554737091,25.299591064453125,0.8328068852424622
4,0.005328461336903274,0.002014368,0.0020143695,28.038622,0.9439127,0.0033140932,0.0033140935,25.852757,0.8494631,0.005033266730606556,0.0018826607847586274,0.0018826605519279838,28.42364501953125,0.9464128613471985,0.0034577117767184973,0.00345771131105721,25.680429458618164,0.853422999382019
5,0.005065705616337558,0.001899952,0.0018999517,28.315292,0.9479437,0.0031657552,0.0031657538,26.083702,0.856668,0.005162886809557676,0.001941713155247271,0.0019417129224166274,28.318302154541016,0.9489763975143433,0.00338248279877007,0.003382483497262001,25.729419708251953,0.8592302203178406
6,0.004779729088768363,0.0017668561,0.0017668561,28.643795,0.95179486,0.0030128742,0.0030128737,26.33488,0.8636235,0.004932582378387451,0.0016758469864726067,0.0016758469864726067,28.99128532409668,0.9515699148178101,0.002979413839057088,0.0029794136062264442,26.485925674438477,0.8623051643371582
7,0.004618287221528589,0.0016961488,0.0016961492,28.85198,0.9541864,0.0029221373,0.0029221398,26.488798,0.8680048,0.006911692209541798,0.002878467785194516,0.002878467319533229,26.514747619628906,0.9371330738067627,0.003969342447817326,0.003969341982156038,24.76991844177246,0.851934552192688
8,0.004480505048607786,0.0016390259,0.0016390258,28.988289,0.95585173,0.002841479,0.0028414791,26.61237,0.87196434,0.004896571394056082,0.0017889717128127813,0.0017889718292281032,28.64597511291504,0.9498277902603149,0.0030594468116760254,0.003059447044506669,26.25410270690918,0.8644965291023254
9,0.00436296403563271,0.0015847964,0.0015847965,29.172592,0.9579888,0.002778169,0.0027781683,26.738163,0.8753983,0.005530843511223793,0.0022729807533323765,0.002272980520501733,27.160085678100586,0.9537744522094727,0.0035800382029265165,0.0035800382029265165,25.195755004882812,0.8732159733772278
10,0.004134686316829175,0.0014784018,0.0014784014,29.491186,0.960636,0.0026562836,0.0026562866,26.979528,0.88008267,0.004745100624859333,0.0016422378830611706,0.0016422383487224579,29.148056030273438,0.9616042971611023,0.0027899635024368763,0.00278996373526752,26.808643341064453,0.8812199831008911
11,0.004083353841366867,0.0014647918,0.0014647922,29.532423,0.96144193,0.0026185615,0.0026185617,27.038324,0.88238543,0.006383363623172045,0.002610706025734544,0.002610706491395831,28.32522964477539,0.9036306142807007,0.0039973477832973,0.003997348248958588,25.828256607055664,0.8180229067802429
12,0.003979380877378086,0.00142217,0.0014221707,29.654434,0.9626449,0.0025572104,0.002557211,27.142889,0.88529086,0.004188321530818939,0.001508297398686409,0.0015082975151017308,29.00796127319336,0.9622195363044739,0.002844268688932061,0.0028442684561014175,26.38271713256836,0.8832173347473145
13,0.0038812720115917426,0.001374233,0.0013742341,29.829554,0.96376956,0.002507038,0.0025070377,27.261494,0.8873706,0.004712451249361038,0.0019137430936098099,0.0019137434428557754,29.108699798583984,0.9394134879112244,0.003276607720181346,0.003276608418673277,26.390966415405273,0.8546271324157715
14,0.0037942981029239794,0.001332584,0.0013325841,29.934805,0.9652253,0.0024617135,0.0024617137,27.335522,0.8900102,0.005621504969894886,0.0017258021980524063,0.0017258025472983718,29.460758209228516,0.9503489136695862,0.0032021913211792707,0.003202191088348627,26.24671173095703,0.8711621165275574
15,0.003731175089875857,0.0013060267,0.0013060275,30.056725,0.96578497,0.0024251477,0.0024251484,27.416155,0.89107746,0.0041748471558094025,0.0012581024784594774,0.0012581024784594774,30.16197967529297,0.9647830128669739,0.002716914052143693,0.0027169145178049803,26.652118682861328,0.8877409100532532
16,0.003664926632773131,0.0012788908,0.0012788909,30.139273,0.966796,0.0023860354,0.0023860356,27.503244,0.89333767,0.0043142931535840034,0.0015389305772259831,0.0015389304608106613,29.6328125,0.9611506462097168,0.002539203502237797,0.002539203967899084,27.231849670410156,0.8902796506881714
17,0.0036772932942646247,0.0012953685,0.0012953687,30.073988,0.9665387,0.0023819262,0.0023819264,27.497448,0.8937553,0.004093727562576532,0.0017284565838053823,0.0017284562345594168,28.99637222290039,0.9585501551628113,0.0027435263618826866,0.0027435272932052612,26.814207077026367,0.8783910274505615
18,0.003579574802424759,0.0012578615,0.0012578608,30.247864,0.9674335,0.002321714,0.0023217138,27.650331,0.8962258,0.004229845479130745,0.0013977973721921444,0.0013977971393615007,29.463361740112305,0.9668385982513428,0.0025827554054558277,0.0025827554054558277,26.87786293029785,0.8940369486808777
