,ssim
0,0.7718813356359432
1,0.5576632877085698
2,0.8721906786705951
3,0.8679909200766859
4,0.7493752627537402
5,0.7096535684594191
6,0.8610117222895037
7,0.8035211166318502
8,0.7289553227970713
9,0.8166599750270556
10,0.6417998464622886
11,0.6291959643260583
12,0.5662265663370077
13,0.6387214302971361
14,0.5823674406452198
15,0.6030498349637213
16,0.6258910540265972
17,0.7229174122361122
18,0.6927966618451401
19,0.6023534160412646
20,0.4309256869225515
21,0.6778187833332211
22,0.7375718888221673
23,0.7351567493386906
24,0.6056010058451882
25,0.5923800196288243
26,0.7304132085228244
27,0.6107299211463525
28,0.42437047416979806
29,0.5855501672762707
30,0.5273019718534308
31,0.717507045178015
32,0.5134266464750227
33,0.5933265530805918
34,0.522748931057624
35,0.5762036167162629
36,0.6222671515399726
37,0.7116661057645142
38,0.6554515414510602
39,0.5945320033435015
40,0.6586064990520736
41,0.4758403460379094
42,0.6088470655957225
43,0.4959994558833949
44,0.7703408761972462
45,0.7630545287012422
46,0.7075588215045502
47,0.694787836161972
48,0.8113390803612205
49,0.6670050524063004
50,0.6015595539443103
51,0.7012247500665878
52,0.7492239550960983
53,0.6479732429058283
54,0.5903381554298508
55,0.6731029153733085
56,0.7277102370467623
57,0.8072853849622929
58,0.7005028917144586
59,0.6187951604179674
60,0.711004275799473
61,0.7742380726993726
62,0.7767202536117918
63,0.6532058423813318
64,0.8451840392251532
65,0.7136868496639505
66,0.4910564474263273
67,0.635384243399534
68,0.8267143627621535
69,0.6406834547923306
70,0.6483379912131136
71,0.7332403743700865
72,0.6000348128398391
73,0.7375582145362554
74,0.6218562618200222
75,0.6267151063260101
76,0.6935156221340207
77,0.7279303276720809
78,0.6656526260509077
79,0.5879631547720715
80,0.7918593006214499
81,0.8261762045931893
82,0.6427017213599505
83,0.48150847027466853
84,0.617490357944109
85,0.6944236593482244
86,0.7221043724059323
87,0.6707756163698484
88,0.8345921345810544
89,0.8721585623250276
90,0.8063490065321276
91,0.7845517001486879
92,0.7961014019920242
93,0.8629139825126083
94,0.7072697193038927
95,0.8626484234176028
96,0.8325671911222433
97,0.8021474682117642
98,0.8507868930676675
99,0.8788369662442546
100,0.8986696429605724
101,0.7956364212541597
102,0.694971538199025
103,0.6995862972120012
104,0.7128109954347016
105,0.6427578911946895
106,0.5665994211654878
107,0.6584320442898494
108,0.8785162957725792
109,0.863975600931934
110,0.5700929452128681
111,0.6423738023819118
112,0.8514941267982302
113,0.6688450529922118
114,0.4836643185470144
115,0.6153814248748262
116,0.8178166404488841
117,0.7395359920576371
118,0.7182669735598036
119,0.5165580237762292
120,0.7802014312633396
121,0.6495102691816698
122,0.7321439795197039
123,0.6184622733046171
124,0.6725314122799668
125,0.6909009806210157
126,0.7527236331084749
127,0.7743093494433363
128,0.8491925307408527
129,0.8268037699617751
130,0.7209220982470715
131,0.7200529148897871
132,0.7846393459133182
133,0.8234315568679786
134,0.6034638645094631
135,0.5454036736684184
136,0.5852785313329784
137,0.6039600824071175
138,0.8701101326859367
139,0.8704207057465099
140,0.5355327673335215
141,0.6808545146394561
142,0.6915662705155611
143,0.6134065418126825
144,0.7449841227852566
145,0.6557775649435813
146,0.6333539452524609
147,0.5980868419718534
148,0.6379406191970469
149,0.7276692319810314
150,0.6139472308033208
151,0.5102641800794102
152,0.45744144096872547
153,0.5593140535520528
154,0.5892033700040886
155,0.643552914295716
156,0.5913207630300247
157,0.6025911849851516
158,0.6764926095027549
159,0.6216764832562857
160,0.601795393217797
161,0.7266634013646375
162,0.6812066638193189
163,0.581946885348864
164,0.6177598250399979
165,0.6652670186683534
166,0.5722899723402981
167,0.41551381333576426
168,0.7939491471434549
169,0.382371236197937
170,0.5508820004729325
171,0.5071738537031761
172,0.6889758754913454
173,0.3811455144028857
174,0.4473120619401319
175,0.5472307160802483
176,0.7278782436776661
177,0.6310126025499402
178,0.5976853083898432
179,0.5070075299026526
180,0.5251297576837793
181,0.5893641505422421
182,0.3819029342098857
183,0.4169935991164138
184,0.7280892285646282
185,0.39088167566905363
186,0.49933358251002086
187,0.7503699625286074
188,0.7120002794903005
189,0.46665395657235204
190,0.6457783872917622
191,0.49896148765802373
192,0.8996773119704286
193,0.8693894717033251
194,0.655569519823079
195,0.58558827048889
196,0.4507718331092693
197,0.6841450463703328
198,0.6179766136175755
199,0.6452403086657795
200,0.704363392623372
201,0.8594642394279067
202,0.8947937177682106
203,0.8072340048507649
204,0.8748258288761211
205,0.5023461248237561
206,0.8231773384144662
207,0.7566498527086681
208,0.569643621400273
209,0.734485739314727
210,0.7979077420155697
211,0.8910234020881734
212,0.7542760162233931
213,0.8311732071712105
214,0.7656666539578522
215,0.7824765872756809
216,0.8644926941858008
217,0.7167680097258088
218,0.7825086760012163
219,0.7161416356257554
220,0.756765196011064
221,0.6898050495673355
222,0.7981833310715065
223,0.7168881993334703
224,0.8197342305723484
225,0.7524927655946229
226,0.707042907647693
227,0.561285758709909
228,0.6308206109557244
229,0.7706451372463037
230,0.6443793687081737
231,0.6828192838617392
232,0.5216621637857756
233,0.4167559333605218
234,0.5085508948924944
235,0.655914166557163
236,0.6414965286193474
237,0.8201036105290754
238,0.7836934749882177
239,0.8685391858030395
240,0.6153045557568314
241,0.5933440765641244
242,0.6361148055941391
243,0.6622820421652836
244,0.8952862132257974
245,0.6531308301821627
246,0.7246835115526631
247,0.8310721630997518
248,0.8340965945233313
249,0.5227511587531458
250,0.6247674223461407
251,0.6409666732113103
252,0.5870023894614179
253,0.5459900420334013
254,0.6195247224072443
255,0.6686816356209498
256,0.6675436899067551
257,0.43405607738504987
258,0.8543903170134115
259,0.764604258523021
260,0.6181899975829687
261,0.6953647343596616
262,0.785299248397731
263,0.6221557308712818
264,0.7163550028256487
265,0.6448828846961314
266,0.7937791286652814
267,0.768242517205215
268,0.5598583924278463
269,0.7225489128012806
270,0.8979211320381681
271,0.590397442964416
272,0.8810722165691504
273,0.8932729154136915
274,0.6202428282093018
275,0.6301103121421353
276,0.5425327714704197
277,0.6560116670103194
278,0.7211166343916807
279,0.4385377184177916
280,0.6054686941618757
281,0.8025844815673464
282,0.5033888132371153
283,0.8774033372735758
284,0.8091398307768857
285,0.6092709915914397
286,0.812710294614501
287,0.6790024316376336
288,0.7219128146891677
289,0.7245958811640595
290,0.7109876933311812
291,0.8297006114679172
292,0.7947855534815301
293,0.8058146473117076
294,0.8383452170209168
295,0.887969898772516
296,0.7872003585859902
297,0.682939233261561
298,0.7267965892414553
299,0.6680679011913915
300,0.6363709943274231
301,0.6674729302752477
302,0.8390632121562307
303,0.7916842612640252
304,0.7293010491974773
305,0.5658755159708653
306,0.7976435864731538
307,0.7061647403282683
308,0.886664089573245
309,0.8007565835917637
310,0.6820645989143017
311,0.8849738451285224
312,0.7019567831950444
313,0.6334924676821923
314,0.8980144343017349
315,0.5296546911427348
316,0.8693896323956741
317,0.7258358997414661
318,0.7886887111970909
319,0.7893012369441518
320,0.667262972076076
321,0.6708731862328463
322,0.8569151998226125
323,0.881744548807284
324,0.8823475040215616
325,0.8243343768870529
326,0.7532710816442751
327,0.5346738688050828
328,0.507099376324959
329,0.6463850043943532
330,0.6606452647130937
331,0.678500303816933
332,0.6717803140333912
333,0.7408105210439174
334,0.7039742413021317
335,0.6356244934896175
336,0.7513779300943465
337,0.6017305719930063
338,0.6996075780859107
339,0.6820695299163521
340,0.7524202991481538
341,0.6526682112967758
342,0.813445458639161
343,0.8527821582385027
344,0.6862503224464692
345,0.7097883265628031
346,0.8693861861317927
347,0.7330404330189481
348,0.8335737765069059
349,0.7112990841233232
350,0.6542781290261358
351,0.6345549094417627
352,0.41396129478991206
353,0.46674473777743747
354,0.8402050800692002
355,0.7167451126858145
356,0.6279875370536678
357,0.49189310556113225
358,0.7752069592922748
359,0.742438242851398
360,0.8512015620449046
361,0.5793773565059995
362,0.5251413394129321
363,0.603344761318978
364,0.6731224315219825
365,0.7297539929757155
366,0.6989430106644754
367,0.8984816655011806
368,0.8141377775195316
369,0.5568433566334057
370,0.6937562971006153
371,0.8472606726554078
372,0.8284214508244222
373,0.7700899937829417
374,0.8054846310704263
375,0.8048092604771552
376,0.7469754114932252
377,0.7395268097323474
378,0.7736552270819822
379,0.7236844244629975
380,0.8386184358788364
381,0.8061863848420545
382,0.7050275857162273
383,0.6765233422698252
384,0.6588885847370577
385,0.8807029200046254
386,0.8907246974142286
387,0.81284915975372
388,0.7782145764537218
389,0.7376277732296171
390,0.7940949937783263
391,0.8299391015831793
392,0.7712645166240146
393,0.8201680668308068
394,0.7899838670186164
395,0.8245259897294716
396,0.6923472449491115
397,0.6590047375612392
398,0.8181012121942404
399,0.6553468005372474
400,0.6155325897857945
401,0.5615678633057825
402,0.7313277976499043
403,0.5430920439635869
404,0.575203339565558
405,0.6895176279720472
406,0.7533864113949894
407,0.6830234412948517
408,0.6060162651887224
409,0.5899385032079095
410,0.6361354633007198
411,0.6821259765655614
412,0.48511612206519183
413,0.37332152606129304
414,0.7935545610502296
415,0.7181224941067802
416,0.5982248378261185
417,0.888836980515813
418,0.6850970387508771
419,0.6364950319480892
420,0.8599099367238653
421,0.5850270589372133
422,0.7237204327184189
423,0.5793713734532292
424,0.5733333557082471
425,0.7318528667036217
426,0.6675615082027896
427,0.5591240472220577
428,0.8159022300861954
429,0.8922698712145208
430,0.8470039874407518
431,0.6432403164429726
432,0.689520980593873
433,0.6193751053194088
434,0.755426127476787
435,0.6722425678156786
436,0.6030267444580725
437,0.5877730605615876
438,0.5528306764818496
439,0.7012078913045757
440,0.6841286078002257
441,0.6880160641292706
442,0.7574985866830545
443,0.8849732573857477
444,0.893999592801325
445,0.7849260150858051
446,0.8084855966550223
447,0.6792434599915707
448,0.5301751488983255
449,0.7460784890201434
450,0.7027831624776845
451,0.780167998107182
452,0.6991730941138092
453,0.854568144471055
454,0.8029950026107197
455,0.7682681016629127
456,0.8204843572165563
457,0.8994475444476603
458,0.8683119546912773
459,0.7661148695610697
460,0.7116752378470491
461,0.7645425658219893
462,0.7602548497082254
463,0.7410445035713371
464,0.6281081532420986
465,0.5962819347935778
466,0.8027519769076857
467,0.6516039273634271
468,0.6370687320117935
469,0.5254315715116867
470,0.7649598529138829
471,0.6636546443103152
472,0.6526424766908563
473,0.523331297478903
474,0.8113751550465224
475,0.5719378449219631
476,0.6803814768323392
477,0.6562154875313029
478,0.40955743434227493
479,0.4704332609851986
480,0.7938972595856483
481,0.6924416592245913
482,0.528210658838493
483,0.8768655900101221
484,0.8952458849157198
485,0.807113458188239
486,0.6807277971003484
487,0.6569860201918063
488,0.7158330544809828
489,0.6645536688003243
490,0.6359318112041025
491,0.5862584888155703
492,0.7023254424897588
493,0.49753205163265174
494,0.6271469647988573
495,0.7706664618262905
496,0.6215834424258112
497,0.5639633346044134
498,0.6015703122713157
499,0.6647408207246395
500,0.8142676790987876
501,0.6469773867199337
502,0.7127258300821936
503,0.4405742958696654
504,0.827842362133409
505,0.6501804600614577
506,0.8428764049982375
507,0.7096962570706496
508,0.8018378877387798
509,0.672242935723352
510,0.6179837634293833
511,0.7812478229130667
512,0.5623179632423977
513,0.7674646641600927
514,0.736559651141797
515,0.7714184988293044
516,0.6371263374621221
517,0.8710666827515934
518,0.8283874730845823
519,0.8648513606467034
520,0.4027724544241947
521,0.8701649461739684
522,0.7975746460765923
523,0.8386100188644753
524,0.836721027064195
525,0.867579078947388
526,0.7436333325026521
527,0.7526720756870704
528,0.565707521770166
529,0.6450950157468712
530,0.8251254587882583
531,0.701553112426076
532,0.632122188426599
533,0.41475138925617916
534,0.3498330650470232
535,0.7587826324903437
536,0.5081565248475258
537,0.40867802346235993
538,0.6858049329932344
539,0.8343246012138289
540,0.6424532732341448
541,0.7495969552613658
542,0.6838961240486845
543,0.6010060117575075
544,0.8173931538074891
545,0.6690784520364302
546,0.695403615868778
547,0.5105252526997114
548,0.7846524380861618
549,0.707179400080827
550,0.7668841176331266
551,0.8279451932312685
552,0.81664515010608
553,0.5858081906552566
554,0.8991825726685652
555,0.5924267392435248
556,0.4342349937857082
557,0.4871265299223398
558,0.8168110903224367
559,0.8094561256413592
560,0.40644867243009514
561,0.6939836726104848
562,0.7722957389522161
563,0.6824366678541053
564,0.6135960632352312
565,0.6489892248396628
566,0.3952289038988801
567,0.7302767626514712
568,0.8635700109021016
569,0.7003859982018632
570,0.7566573052147003
571,0.7373024969803015
572,0.7650989771853234
573,0.7498641533137723
574,0.5999938528079571
575,0.8796457805911465
576,0.8114610228124532
577,0.840116943836684
578,0.735866033607372
579,0.872526371680991
580,0.7054762673788418
581,0.5672064116699699
582,0.6937739191304958
583,0.5859832666329753
584,0.6898130033773073
585,0.5676728401607513
586,0.7630853642736918
587,0.3296143635134266
588,0.5709951988707181
589,0.7208314504534549
590,0.8252313612437087
591,0.6764511703802888
592,0.5818508392600056
593,0.4669198580305817
594,0.5146236802040495
595,0.8051611564014521
596,0.6683506109011077
597,0.8129823913652655
598,0.6680410290383257
599,0.7612461290585717
600,0.4930060319590635
601,0.3942289441794942
602,0.85957491504294
603,0.5977522582876769
604,0.6182900080966849
605,0.6023231497526921
606,0.5286615928462317
607,0.5455574111452431
608,0.5375744647075668
609,0.5156481850299138
610,0.47724915939397033
611,0.6910824759317465
612,0.5388227982414275
613,0.6093117976754389
614,0.38884270584249697
615,0.46391705062082095
616,0.38472293125826296
617,0.36124835549790174
618,0.3711062885487512
619,0.3605161114697084
620,0.42835390103027043
621,0.516927449704151
622,0.4248081830980761
623,0.3541063630275474
624,0.33547980757540596
625,0.41263830296429505
626,0.3470931363888234
627,0.33693484748887004
628,0.33279501740238127
629,0.40358492475486757
630,0.5688214558843572
631,0.5999951534807327
632,0.5632222509446742
633,0.5699845879577495
634,0.18626989687269038
635,0.3012210212377669
636,0.41525804769266045
637,0.29992214268171596
638,0.3983342683313434
639,0.43674481783272784
640,0.60649774027753
641,0.6521305639917884
642,0.784202616306351
643,0.6682514620984991
644,0.685485054427078
645,0.6651153479530122
646,0.8899308048972161
647,0.8909968061614327
648,0.8668222936946423
649,0.8482069706858223
650,0.8855501696986189
651,0.8810448832536322
652,0.653593827966016
653,0.5547025611498814
654,0.52041552033831
655,0.5729704291883739
656,0.5935881381752811
657,0.627488770688324
658,0.6727571585701099
659,0.6806628757065109
660,0.8262880827536718
661,0.7459666487357897
662,0.7137691440525517
663,0.7840657602268251
664,0.8998682226178416
665,0.8890925842872913
666,0.8542009589774956
667,0.8855780636942661
668,0.761679054169527
669,0.6408270832321269
